text,urls,metadata,label
Delivery notification: Your package is out for delivery. Track: https://www.microsoft.org/track/77899,"[""https://www.microsoft.org/track/77899""]","{""from"": ""noreply@amazon.com"", ""subject"": ""Netflix notification"", ""timestamp"": ""2025-11-12 13:20:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 1}",0
Payment received: Thank you for your payment to Amazon.,"[""https://www.google.net/track/49747""]","{""from"": ""noreply@google.com"", ""subject"": ""Amazon notification"", ""timestamp"": ""2025-08-01 16:26:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 1}",0
Newsletter: Latest updates from Apple — read more at https://www.bankofamerica.org/track/63004,"[""https://www.bankofamerica.org/track/63004""]","{""from"": ""noreply@stripe.com"", ""subject"": ""Apple notification"", ""timestamp"": ""2025-11-21 02:41:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 3}",0
Delivery notification: Your package is out for delivery. Track: https://www.bankofamerica.org/track/64345,"[""https://www.bankofamerica.org/track/64345""]","{""from"": ""noreply@amazon.com"", ""subject"": ""Netflix notification"", ""timestamp"": ""2025-02-01 06:12:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 1}",0
You are eligible for a tax refund. Provide your details here: http://fedex-secure.cf/login/61591,"[""http://fedex-secure.cf/login/61591""]","{""from"": ""security@amazon-alert.xyz"", ""subject"": ""URGENT: Walmart notice"", ""timestamp"": ""2025-05-18 19:45:00"", ""received_spf"": ""neutral"", ""dkim"": """", ""dmarc"": """", ""relay_hops"": 8}",1
Newsletter: Latest updates from Bankofamerica — read more at https://www.dhl.org/track/17153,"[""https://www.dhl.org/track/17153""]","{""from"": ""noreply@fedex.com"", ""subject"": ""Bankofamerica notification"", ""timestamp"": ""2025-10-23 14:15:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 3}",0
Reminder: Your appointment with Bankofamerica is scheduled at 11:00 AM.,"[""https://www.microsoft.in/track/12601""]","{""from"": ""noreply@paypal.com"", ""subject"": ""Bankofamerica notification"", ""timestamp"": ""2025-12-06 20:48:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 0}",0
URGENT: Your fedex account has been suspended. Verify immediately: http://amazon-secure.cf/login/2331,"[""http://amazon-secure.cf/login/2331""]","{""from"": ""security@stripe-alert.tk"", ""subject"": ""URGENT: Fedex notice"", ""timestamp"": ""2025-08-31 14:00:00"", ""received_spf"": ""fail"", ""dkim"": ""none"", ""dmarc"": """", ""relay_hops"": 8}",1
Reminder: Your appointment with Apple is scheduled at 09:00 AM.,"[""https://www.fedex.in/track/74703""]","{""from"": ""noreply@apple.com"", ""subject"": ""Apple notification"", ""timestamp"": ""2025-12-05 19:15:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 3}",0
Your fedex monthly statement is ready. View it at https://www.apple.com/track/68749,"[""https://www.apple.com/track/68749""]","{""from"": ""noreply@paypal.com"", ""subject"": ""Fedex notification"", ""timestamp"": ""2025-12-16 05:52:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 0}",0
Newsletter: Latest updates from Paypal — read more at https://www.apple.org/track/68968,"[""https://www.apple.org/track/68968""]","{""from"": ""noreply@apple.com"", ""subject"": ""Paypal notification"", ""timestamp"": ""2025-11-03 06:57:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 1}",0
Congratulations! You won a prize. Claim at http://google-secure.ga/login/31666,"[""http://google-secure.ga/login/31666""]","{""from"": ""security@netflix-alert.ml"", ""subject"": ""URGENT: Walmart notice"", ""timestamp"": ""2025-06-04 19:31:00"", ""received_spf"": ""fail"", ""dkim"": ""fail"", ""dmarc"": ""none"", ""relay_hops"": 7}",1
Reminder: Your appointment with Stripe is scheduled at 10:00 AM.,"[""https://www.apple.in/track/93456""]","{""from"": ""noreply@apple.com"", ""subject"": ""Stripe notification"", ""timestamp"": ""2025-12-26 06:59:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 3}",0
Payment received: Thank you for your payment to Walmart.,"[""https://www.bankofamerica.com/track/53023""]","{""from"": ""noreply@google.com"", ""subject"": ""Walmart notification"", ""timestamp"": ""2025-10-17 00:04:00"", ""received_spf"": ""pass"", ""dkim"": ""pass"", ""dmarc"": ""pass"", ""relay_hops"": 2}",0
